day_post_inf	Genus	Chow	HF/HF	HF/LF	LF/HF	LF/LF
-15	Clostridioides	1	0	1	1	0
-15	Romboutsia	4	11	11	11	9
-15	uncultured	20	15	27	19	24
-8	Clostridioides	0	0	7	0	4
-8	Romboutsia	2	18	15	17	21
-8	uncultured	17	18	20	17	21
-3	Clostridioides	1	1	2	0	0
-3	Paeniclostridium	0	0	8	0	6
-3	Romboutsia	1	8	19	7	17
-3	uncultured	18	19	23	18	22
0	Clostridioides	8	4	0	9	6
0	Paeniclostridium	0	0	4	0	1
0	Romboutsia	7	12	13	15	15
0	uncultured	19	18	23	17	23
3	Clostridioides	12	6	14	9	16
3	Paeniclostridium	0	0	2	0	0
3	Romboutsia	5	5	3	6	5
3	Terrisporobacter	3	1	0	1	1
3	uncultured	13	6	18	9	16
