group2	day_post_inf	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_means	group2_means	diff_means	stat_diff_means
HF/HF	-3	Chow	faith_pd	18	19	-2.2717921930213385	0.023099064619955426	0.04619812923991085	*	14.740214267043003	9.977758674143772	4.762455592899231	4.762455592899231
HF/HF	-8	Chow	faith_pd	17	18	-4.059789734511037	4.9116926407895636e-5	2.4477340206882213e-4	***	51.1978829180561	40.076181612714215	11.121701305341887	11.121701305341887
HF/HF	0	Chow	faith_pd	19	18	-4.163624537196378	3.1323504881251124e-5	1.0441168293750375e-4	***	19.45344000434944	10.928511797319874	8.524928207029564	8.524928207029564
HF/HF	3	Chow	faith_pd	13	5	-2.2346873859486793	0.025437879312013502	0.039593989961164186	*	29.520529584770074	11.517852443862207	18.002677140907867	18.002677140907867
HF/LF	-3	Chow	faith_pd	18	23	1.2789232519188785	0.20092408368200976	0.28703440526001395	ns	14.740214267043003	17.96056372319654	-3.220349456153537	0
HF/LF	-3	HF/HF	faith_pd	19	23	3.70853969634917	2.08457983806584e-4	0.00104228991903292	**	9.977758674143772	17.96056372319654	-7.982805049052768	-7.982805049052768
HF/LF	-8	HF/HF	faith_pd	18	20	-0.9693120232951292	0.33238953218723966	0.37431889555807457	ns	40.076181612714215	37.705473536461184	2.370708076253031	0
HF/LF	-8	Chow	faith_pd	17	20	-5.116774988163227	3.1080402900777143e-7	3.1080402900777144e-6	****	51.1978829180561	37.705473536461184	13.492409381594918	13.492409381594918
HF/LF	0	Chow	faith_pd	19	23	-5.067947462375076	4.021283544736483e-7	2.0106417723682414e-6	****	19.45344000434944	11.46809703154108	7.985342972808359	7.985342972808359
HF/LF	0	HF/HF	faith_pd	18	23	-0.6407844675522395	0.5216627258448315	0.5796252509387018	ns	10.928511797319874	11.46809703154108	-0.5395852342212049	0
HF/LF	3	HF/HF	faith_pd	5	18	-2.2012858639391126	0.02771579297281493	0.039593989961164186	*	11.517852443862207	7.718780389638161	3.7990720542240464	3.7990720542240464
HF/LF	3	Chow	faith_pd	13	18	-6.288256641886911	3.210508513351786e-10	3.210508513351786e-9	****	29.520529584770074	7.718780389638161	21.80174919513191	21.80174919513191
LF/HF	-3	Chow	faith_pd	18	18	-2.493264854956989	0.01265743914481309	0.031643597862032725	*	14.740214267043003	9.97678182423912	4.763432442803882	4.763432442803882
LF/HF	-3	HF/HF	faith_pd	19	18	-0.2549408018065487	0.7987688219233546	0.7987688219233546	ns	9.977758674143772	9.97678182423912	9.768499046511891e-4	0
LF/HF	-3	HF/LF	faith_pd	23	18	-3.9198442077844646	8.860622806062685e-5	8.860622806062684e-4	***	17.96056372319654	9.97678182423912	7.983781898957419	7.983781898957419
LF/HF	-8	HF/HF	faith_pd	18	17	0.038664664138200217	0.9691577462635763	0.9691577462635763	ns	40.076181612714215	38.70248606564471	1.3736955470695023	0
LF/HF	-8	Chow	faith_pd	17	17	-3.964882789024627	7.343202062064664e-5	2.4477340206882213e-4	***	51.1978829180561	38.70248606564471	12.495396852411389	12.495396852411389
LF/HF	-8	HF/LF	faith_pd	20	17	0.9942861661956947	0.3200835686659281	0.37431889555807457	ns	37.705473536461184	38.70248606564471	-0.9970125291835288	0
LF/HF	0	HF/LF	faith_pd	23	17	1.6644723740311191	0.09601806736529858	0.16003011227549765	ns	11.46809703154108	12.415644927423958	-0.9475478958828791	0
LF/HF	0	HF/HF	faith_pd	18	17	0.9778928077252258	0.3281273427079881	0.4687533467256973	ns	10.928511797319874	12.415644927423958	-1.487133130104084	0
LF/HF	0	Chow	faith_pd	19	17	-3.1114925573202097	0.0018614416622390884	0.004653604155597721	**	19.45344000434944	12.415644927423958	7.03779507692548	7.03779507692548
LF/HF	3	Chow	faith_pd	13	9	-3.069875233327129	0.0021414821073188583	0.007138273691062861	**	29.520529584770074	10.996967955699951	18.523561629070123	18.523561629070123
LF/HF	3	HF/HF	faith_pd	5	9	-0.2782795364203417	0.7807977835295553	0.8731977293486446	ns	11.517852443862207	10.996967955699951	0.5208844881622561	0
LF/HF	3	HF/LF	faith_pd	18	9	2.345602454073197	0.018996356916513513	0.03799271383302703	*	7.718780389638161	10.996967955699951	-3.2781875660617903	-3.2781875660617903
LF/LF	-3	HF/HF	faith_pd	19	22	0.5771522813941459	0.5638365892004302	0.6264850991115891	ns	9.977758674143772	11.367412215726265	-1.3896535415824935	0
LF/LF	-3	LF/HF	faith_pd	18	22	0.8325799174445014	0.4050816890400182	0.5063521113000227	ns	9.97678182423912	11.367412215726265	-1.3906303914871447	0
LF/LF	-3	Chow	faith_pd	18	22	-1.782378323266058	0.0746875579717936	0.12447926328632268	ns	14.740214267043003	11.367412215726265	3.3728020513167376	0
LF/LF	-3	HF/LF	faith_pd	23	22	-3.2491530153138366	0.0011574919646927867	0.0038583065489759556	**	17.96056372319654	11.367412215726265	6.5931515074702745	6.5931515074702745
LF/LF	-8	HF/HF	faith_pd	18	21	1.0161346290469537	0.30956528071048506	0.37431889555807457	ns	40.076181612714215	42.21596882028357	-2.1397872075693556	0
LF/LF	-8	Chow	faith_pd	17	21	-3.208006341623662	0.0013365855125838078	0.0033414637814595197	**	51.1978829180561	42.21596882028357	8.981914097772531	8.981914097772531
LF/LF	-8	LF/HF	faith_pd	17	21	0.9603342732138658	0.3368870060022671	0.37431889555807457	ns	38.70248606564471	42.21596882028357	-3.513482754638858	0
LF/LF	-8	HF/LF	faith_pd	20	21	2.05259401973726	0.04011196803717975	0.0802239360743595	ns	37.705473536461184	42.21596882028357	-4.510495283822387	0
LF/LF	0	HF/LF	faith_pd	23	23	-0.050821914390844915	0.9594674282812393	0.9594674282812393	ns	11.46809703154108	10.036782038328813	1.4313149932122666	0
LF/LF	0	LF/HF	faith_pd	17	23	-1.711327863944232	0.08702060538464151	0.16003011227549765	ns	12.415644927423958	10.036782038328813	2.3788628890951458	0
LF/LF	0	HF/HF	faith_pd	18	23	-0.6884067648930331	0.49119666496106823	0.5796252509387018	ns	10.928511797319874	10.036782038328813	0.8917297589910618	0
LF/LF	0	Chow	faith_pd	19	23	-5.11628874546415	3.116059243965078e-7	2.0106417723682414e-6	****	19.45344000434944	10.036782038328813	9.416657966020626	9.416657966020626
LF/LF	3	HF/HF	faith_pd	5	16	-0.17315927748205387	0.8625262319095672	0.8731977293486446	ns	11.517852443862207	12.12269114314984	-0.6048386992876331	0
LF/LF	3	HF/LF	faith_pd	18	16	2.980532050265813	0.002877481253978772	0.00719370313494693	**	7.718780389638161	12.12269114314984	-4.4039107535116795	-4.4039107535116795
LF/LF	3	Chow	faith_pd	13	16	-3.387006849429357	7.065962369007551e-4	0.0035329811845037752	**	29.520529584770074	12.12269114314984	17.397838441620234	17.397838441620234
LF/LF	3	LF/HF	faith_pd	9	16	0.1595980319972043	0.8731977293486446	0.8731977293486446	ns	10.996967955699951	12.12269114314984	-1.1257231874498892	0
