term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
purified_diet	1	0.13625166621465332	0.012529818916176244	0.607345500439941	0.687	ns	-15
high_fat	1	0.3195763158124084	0.02938850935385911	1.4245201020152067	0.202	ns	-15
high_fiber	1	0.26303785113774786	0.02418918413565538	1.1724983611005646	0.29	ns	-15
high_fat:high_fiber	1	0.060043481554781675	0.00552164954660402	0.2676454487946904	0.954	ns	-15
Residual	45	10.095283451047337	0.9283708380477053	NA	NA		-15
Total	49	10.874192765766928	1	NA	NA		-15
purified_diet	1	1.5736981796687661	0.07965244878732597	3.7663412999124923	0.012	*	3
high_fat	1	1.2675484142742206	0.06415673377387046	3.033631228654295	0.046	*	3
high_fiber	1	3.0229486105381507	0.1530059972734346	7.234841055595136	0.001	***	3
high_fat:high_fiber	1	0.10440612428141804	0.00528449710042827	0.24987580396621453	0.861	ns	3
Residual	33	13.78845829247495	0.6979003230649407	NA	NA		3
Total	37	19.757059621237506	1	NA	NA		3
