term	df	SumOfSqs	R2	statistic	p.value	signif
purified_diet	1	1.4093242525324452	0.06033990716783958	8.430832515469	0.001	***
seq_depth	1	1.3659002510317666	0.05848071811698859	8.17106228647745	0.001	***
high_fat	1	0.40806803111423084	0.0174713427881132	2.4411367497999326	0.006	**
high_fiber	1	0.8187275195338453	0.035053638249435054	4.897776065793144	0.001	***
study	1	0.9128526407462596	0.039083584563005626	5.460849560777801	0.001	***
purified_diet:seq_depth	1	0.2712682692159847	0.011614291141772716	1.6227758377190564	0.07	+
high_fat:high_fiber	1	0.2838260146660492	0.012151948244694675	1.6978985417179002	0.048	*
Residual	107	17.886453650251752	0.7658045697281503	NA	NA	
Total	114	23.35642062909234	1	NA	NA	
